root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21
-0.00023315638108821566,-0.007332505266170658,0.5568868791794697,0.7525374469130977,0.08631514412893006,-0.05592130268729979,0.6504689806541691,0.1904847768349074,0.30272829730851775,-0.14220063876784206,-1.0774264923586028,0.4607250685637354,-1.1139477531002195,-0.2665172656983367,1.1338772411056917,0.7988184833428911,1.2431048721083575,0.14365581372661607,-0.09795498585302197,0.32207782987701494,0.2839328624087342,-0.3351878937746255,0.1621000743366556,-0.10174495708523348,-0.2574165851469261,-0.301475812525594,0.509458908354303,-0.027610632843004426,0.07215270699499617
-0.01154892564682932,0.01468575186393226,0.5485264314681344,0.7479761544706112,0.08591993507197823,-0.06268074065894796,0.6551492668476614,0.17810641329653362,0.3099121115408131,-0.12442759762901304,-0.9964042730023492,0.5029631149371241,-1.0648352869536208,-0.14105195070422186,1.109726269806641,0.6305280423234793,1.0802133297588794,0.14751531102808754,-0.11644639913476343,0.31539562336558535,0.3783524701693883,-0.43967567152836406,0.1746596241264265,-0.19178285777796747,-0.3264881062543959,-0.2464929025809855,0.6896648028594052,-0.10971674065512416,0.10865582333156697
-0.020205077445853876,0.02069977399340864,0.5470664435288987,0.7521481359591495,0.08236497264580264,-0.061266273372315806,0.6509497957610099,0.1993548481435986,0.314521483575917,-0.13935937763582104,-0.9226453960508288,0.4935581102507087,-1.0026384463837492,-0.016482980788205034,1.0802790762967964,0.44814351798428953,0.9473175528716202,0.14491437472051003,-0.1272875348351081,0.34097782959812517,0.3928661396438474,-0.461136745110018,0.1615012814858645,-0.2668198590336831,-0.37190981740537055,-0.21345398438259378,0.7216619472853845,-0.09944492888625381,0.10892139250757135
-0.02963270390710154,0.02779021393864906,0.5472004033773051,0.758783682887863,0.07571478512305807,-0.06390680288233994,0.6437627780807592,0.22491065987526715,0.30982252120581355,-0.21235982558913824,-0.8281846952732367,0.5059909530333949,-0.9624014787693453,0.10369455274095822,1.0623875818995032,0.24764600071961773,0.8511664388669127,0.1555262219872817,-0.13608488888621406,0.3703036507362023,0.38995396627371476,-0.4634365571151907,0.14725414727699282,-0.3335039641751289,-0.39318444383426243,-0.2042586975449387,0.7235091144191275,-0.09817157252235678,0.10035757158317864
-0.034906098379540874,0.03484748092876716,0.5479816308883619,0.7662834467364941,0.06872440053620558,-0.0629016829722199,0.6357122102868872,0.24779425556600232,0.29564209428281446,-0.31272178504852244,-0.7318040019259258,0.5251201968031394,-0.9427331996904648,0.21292193894686626,1.049340155700391,0.07382631723178168,0.8334564689234261,0.16785190542259965,-0.1447034254015046,0.3892110963335289,0.3731594969888237,-0.4436545790376044,0.13055796137730044,-0.3848006554872425,-0.38764610410120587,-0.22003160274641143,0.691015848146573,-0.08112208991643949,0.09695915679079521
-0.03760210144851996,0.042551819184066156,0.5498037432885974,0.7733514779905378,0.0602612253813088,-0.058867348407453064,0.6283555613638416,0.2686725150916861,0.27766761019428493,-0.4547352811269751,-0.6523466867466227,0.5769631936462656,-0.9029708542337289,0.3087774643733936,1.0451308144834086,-0.08344161939108724,0.8418755199461752,0.18581624020709445,-0.15537272076709463,0.39326071067744106,0.33330045711512646,-0.4028482526669214,0.11633436154806728,-0.4103109662292691,-0.343529218593872,-0.2593416208012761,0.6347132066841834,-0.05562046224751602,0.09913860380277767
-0.038553607256108624,0.04974431082132369,0.5521601556085783,0.7806612136154195,0.05273597923527678,-0.049983764550744506,0.6207162067579127,0.284983529640902,0.26878086670530266,-0.6115527628215236,-0.5884710568284705,0.6333961265064204,-0.8650102559013448,0.387084501549697,1.034305890067163,-0.20863844541623341,0.8624140305249954,0.20860818029914466,-0.17727741239183087,0.37195583099299656,0.2741070649244,-0.3410091946099432,0.09794513367238639,-0.42035285716052495,-0.268209735496147,-0.28798941805854844,0.5732141335699792,-0.02648671546547776,0.10267620035330281
-0.038764352123937466,0.056535562636611615,0.5549127371022263,0.7856649968954939,0.046350413746114455,-0.0397165674742368,0.6156336134965595,0.2874644403980651,0.2577739829483276,-0.7671107214198817,-0.546047170204296,0.7168696617993524,-0.8319394173509637,0.46310359357236647,1.0368560143343266,-0.32676502339574265,0.8905879623367924,0.23469006946462562,-0.19385094419137708,0.3687998121979281,0.21455008857693478,-0.2618555805267682,0.070614829467028,-0.4036292639051886,-0.18627335742489665,-0.3230597891937612,0.50636373776942,-0.00063959502173868,0.1029524257326026
-0.037651548391551395,0.06306462721558068,0.5567557213435856,0.7876247203480683,0.0451862403587843,-0.030599389293386924,0.6137338030072456,0.2863419567495931,0.24997310133559533,-0.9286060771743738,-0.5377972747052495,0.8375788353509531,-0.7601135787227564,0.5242519558752045,1.0514501879405296,-0.4361159672799993,0.9055506094386305,0.25507555912167695,-0.20071357623655398,0.37845497285979224,0.18761553667901332,-0.17235882057107138,0.034154723358088515,-0.35617736168909964,-0.10851090399781532,-0.35279108568479756,0.42316407643705856,0.03439303717090813,0.10133653531428115
-0.03610728142453786,0.07076333054260515,0.5573301480141348,0.7886847616584076,0.04588587541810941,-0.022808771105376588,0.6126586269086532,0.2861927957345854,0.24119629527131403,-1.0336166933059987,-0.5454676149292558,0.9355442832067968,-0.6809133043973111,0.5681184802160442,1.0702884347379211,-0.5169112368918388,0.9308602151624307,0.25810383990349794,-0.19255205784704965,0.3936895212384738,0.19280364592089877,-0.08144952781910476,-0.006685721877435116,-0.2939734060463415,-0.04749053079451401,-0.379582458776183,0.35067678062562957,0.06949793345001862,0.09151219464622898
